215354826 TIC215354826  13.959999999999988 0.119869503294663657 3.9942943898531809 0.5000000000000000 0.0049999999999999992 0.0025000000000000001 0.04790831346819986 0.0200927614850213224 0.161112231364930608 6.320944335859973e-03 0.1603020561252496978 9.9683145072009005e-04 12485138.142175008  397667.21157719201 4.3823116116076575 0.0035319434026949985 4.5049847653140560 0.017016765774632785 3.5604381430940810 0.0048821598225984699 1.0105230696626768 0.0014852308610615887  2.6141838743600996 0.1293144875749606404 0.18726245518338838 0.0091442702387108700
229087301 nuEridani      8.609999999999999 0.060377828505119746 2.7360938246441928 0.5994619982458748 0.0200000000000000004 0.0025000000000000001 0.26678999012753796 0.0058591575488797423 0.021665824278294117 6.573230168190663e-05 0.0127372500155437385 7.7341873189040751e-06 26020085.562230427 1217428.72219529212 4.3213972945439387 0.0036972052022281017 3.8091259856882296 0.018657437654357303 3.8033244909382997 0.0034916071637922539 0.7844215641890958 0.0019638174055533709  1.7109516772002311 0.0349019564804539106 0.19871680339143222 0.0034226819444861819
266404743 TIC266404743  17.780000000000001 0.166678399747169886 3.0000000000000000 0.5000000000000000 0.0200000000000000004 0.0025000000000000001 0.27665731319813280 0.0032843864064651083 0.283836310821015070 3.915502490444959e-03 0.2205160400701048073 4.9684441003379205e-04  7991331.506966227  258534.57572561511 4.4635646300018488 0.0024859558979343967 4.7545127457771521 0.014782581777253135 3.7412517133038876 0.0026263721655232670 0.9727802348811584 0.0024201032947643785  5.6111929375422207 0.0551391755617151175 0.31559015396750395 0.0023851120446947800
274070426 TIC274070426  13.490000000000000 0.114328959008054912 6.0000000000000000 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.16157417151730122 0.0247570733785197825 0.299587477070148211 1.824237584396884e-02 0.2873488158724614161 2.8599087705297693e-03 14825761.023792805 1302630.15983382775 4.3997367184011509 0.0054066294761727935 4.5321676906909536 0.015284864194170480 3.5884871971040706 0.0015916812768531268 0.9892635664322044 0.0032661796176829969  3.4243066786792400 0.2040178207800020516 0.25384037647733432 0.0194619398625583313
281083526 TIC281083526  26.000000000000000 0.275919802854309504 2.0000000000000000 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.25036944646478315 0.0026926286380707667 0.340481587618555515 7.129005814923696e-03 0.3062139878367314272 9.3559280836800975e-04  5101865.484677867  104879.20025144510 4.5150665378542412 0.0027415522870223134 5.1478882085958819 0.015804892628466297 3.7165388235313346 0.0026682323968167088 1.0664641703976627 0.0024839176226336959  9.2420672810811340 0.2316823976856369760 0.35546412619542822 0.0030042734162261265
282145129 TIC282145129  29.850000000000005 0.330203163102313790 4.0053213733032731 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.41212039808316980 0.0029340201328006770 0.593330027101518054 7.106846000404195e-04 0.4000000059604645331 4.7834555072601396e-06  3282211.880118197   87853.10565923231 4.5634582482380024 0.0025015975244462667 5.2095920972757694 0.014303252726398893 3.9087540471729958 0.0031215155341788813 1.0005327130263770 0.0021495675797540193 12.9566902716939385 0.2792751649095289723 0.43405997560113696 0.0035752531660315011
314833456 TIC314833456  10.960000000000001 0.085472427550994406 1.0008621262540551 0.5000000000000000 0.0149999999999999977 0.0025000000000000001 0.15451808128941208 0.0458815838307404869 0.029828829480881409 8.539722622990981e-05 0.0248330572441083676 2.9613951532646277e-04 18072307.873638131  889137.17339131807 4.3475466631654616 0.0130457034001545298 4.1826751962789377 0.015150392387310911 3.6385033590487463 0.0456438289968614103 0.9188974326560467 0.0192011043266508696  2.1521708542522497 0.2201349944868934150 0.19636595385513231 0.0169507837712362663
316144493 HD117704      10.960000000000001 0.085472427550994406 4.0000000000000000 0.5000000000000000 0.0200000000000000004 0.0025000000000000001 0.22941570469989561 0.0031522258399359249 0.360686034801475430 7.018319427473694e-03 0.2617825129348027580 8.3250106276147834e-04 17466111.268120598  648601.72656430607 4.3645327747337506 0.0038861585136535514 4.1678816699367554 0.019527423372478030 3.7214525549456274 0.0035892534083836300 0.8775284463513735 0.0020127732515623806  2.4295754899786428 0.0407750409343532738 0.22167659580097104 0.0016901182882857752
326724924 TIC326724924  12.160000000000000 0.098945942034228504 5.0000000000000000 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.10100424451527260 0.0467307380888785442 0.023522288017586625 3.895711420522135e-04 0.0194208105377501987 2.8137587338696691e-04 15337606.574736118 1238225.69840916153 4.3629687867549523 0.0098207593182926354 4.3219967245162882 0.012348812756907336 3.6061181860992781 0.0573290783680662011 0.9577139500125272 0.0247221237399321107  2.2778869496708887 0.1725940372129260714 0.18732622941372440 0.0113131727719983644
327656776 KZMus         12.770904382032398 0.494955628490375554 2.3320726888584695 0.8223472023391009 0.0230286599686562246 0.0056817587700722190 0.38325974308912408 0.0018231629656936571 0.213517653393517082 1.353815070480632e-03 0.1135057873502473974 5.8864676450242200e-05 11012603.279608851  517274.25581200776 4.4251027005329373 0.0033419127208815709 4.2904587570765838 0.016420709828368803 3.9083622179654354 0.0044459804072610179 0.8176771195396115 0.0015274236351951291  3.6433161810505084 0.0690798077093270901 0.28530333039874722 0.0017102371804964670
343320237 TIC343320237  14.877399542066554 0.199383559713711800 3.3681328912304580 0.9341163897393107 0.0203068800610335977 0.0026260913954170742 0.38161901405411208 0.0028883855246008110 0.349422268259271085 2.033616786380927e-03 0.1982964260888812891 7.1154934075046453e-05  8562120.619739195  355059.70180126297 4.4533318828704971 0.0033348998937626018 4.4806447874607498 0.016093598650702035 3.8974735189339111 0.0048006954871624655 0.8563117590996305 0.0013770852812889720  4.6001522122806193 0.0990699831991726926 0.30920851995088172 0.0028060610459715632
